Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
tpm_plus_symbol,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
tpm_ok,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,确定,OK,OK,确定,
tpm_reset,Reset,Reset,Reset,Zurücksetzen,Сброс,Reset,Visszaállít,Reset,Restablecer,Reset,重置,リセット,Reset,重置,
tpm_customize,Customize,Customize,Přizpůsobit,Anpassen,Настроить,Dostosuj,Testreszab,Personalizza,Personalizar,Personnaliser,自定义,カスタマイズ,Personalizar,自定义,
tpm_upgrade,Upgrade,Upgrade,Upgrade,Verbessern,Улучшить,Ulepsz,Fejlesztés,Migliora,Mejorar,Améliorer,升级,アップグレード,Melhorar,升级,
tpm_stock,Stock,Stock,Sklad,Lager,Запас,Zapas,Készlet,Scorta,Stock,Stock,库存,在庫,Stock,库存,
tpm_available,Available,Available,Dostupnost,Verfügbar,Доступно,Dostępne,Elérhető,Disponibile,Disponible,Disponible,可用,利用可能,Disponível,可用,
tpm_out_of_stock,Out of Stock,Out of Stock,Vyprodáno,Nicht auf Lager,Нет в наличии,Brak w magazynie,Nincs készleten,Esaurito,Agotado,Rupture de stock,缺货,在庫切れ,Fora de stock,缺货,
tpm_add_to_cart,Add to Cart,Add to Cart,Přidat do košiku,In Warenkorb,Добавить в корзину,Dodaj do koszyka,Kosárba,Aggiungi al carrello,Añadir al carrito,Ajouter au panier,添加到购物车,カートに追加,Adicionar ao carrinho,添加到购物车,
tpm_remove_from_cart,Remove from Cart,Remove from Cart,Odebrat z košíku,Aus Warenkorb entfernen,Удалить из корзины,Usuń z koszyka,Eltávolítás kosárból,Rimuovi dal carrello,Eliminar del carrito,Retirer du panier,从购物车移除,カートから削除,Remover do carrinho,从购物车移除,
tpm_checkout,Checkout,Checkout,K pokladně,Zur Kasse,Оформить заказ,Do kasy,Pénztár,Checkout,Finalizar compra,Commande,结账,チェックアウト,Finalizar compra,结账,
tpm_payment,Payment,Payment,Platba,Zahlung,Оплата,Płatność,Fizetés,Pagamento,Pago,Paiement,付款,支払い,Pagamento,付款,
tpm_currency,Currency,Currency,Měna,Währung,Валюта,Waluta,Valuta,Valuta,Moneda,Devise,货币,通貨,Moeda,货币,
tpm_balance,Balance,Balance,Zůstatek,Guthaben,Баланс,Saldo,Egyenleg,Saldo,Saldo,Solde,余额,残高,Saldo,余额,
tpm_insufficient_funds,Insufficient Funds,Insufficient Funds,Nedostatek peněz,Unzureichende Mittel,Недостаточно средств,Niewystarczające środki,Nincs elég pénz,Fondi insufficienti,Fondos insuficientes,Fonds insuffisants,资金不足,資金不足,Fundos insuficientes,资金不足,
tpm_transaction_successful,Transaction Successful,Transaction Successful,Transakce úspěšná,Transaktion erfolgreich,Транзакция успешна,Transakcja udana,Tranzakció sikeres,Transazione riuscita,Transacción exitosa,Transaction réussie,交易成功,取引成功,Transação bem-sucedida,交易成功,
tpm_transaction_failed,Transaction Failed,Transaction Failed,Transakce selhala,Transaktion fehlgeschlagen,Транзакция не удалась,Transakcja nieudana,Tranzakció sikertelen,Transazione fallita,Transacción fallida,Transaction échouée,交易失败,取引失敗,Transação falhou,交易失败,
tpm_catalog,Catalog,Catalog,Katalog,Katalog,Каталог,Katalog,Katalógus,Catalogo,Catálogo,Catalogue,目录,カタログ,Catálogo,目录,
tpm_catalog_items,Catalog Items,Catalog Items,Katalogové položky,Katalogartikel,Товары каталога,Przedmioty katalogu,Katalógus tételek,Articoli catalogo,Artículos catálogo,Articles catalogue,目录物品,カタログアイテム,Itens do catálogo,目录物品,
tpm_catalog_info,Catalog Info,Catalog Info,Info o katalogu,Kataloginfo,Информация о каталоге,Informacje o katalogu,Katalógus infó,Info catalogo,Info catálogo,Info catalogue,目录信息,カタログ情報,Info do catálogo,目录信息,
tpm_catalog_description,Catalog Description,Catalog Description,Popis katalogu,Katalogbeschreibung,Описание каталога,Opis katalogu,Katalógus leírás,Descrizione catalogo,Descripción catálogo,Description catalogue,目录描述,カタログ説明,Descrição do catálogo,目录描述,
tpm_item_details,Item Details,Item Details,Detaily položky,Item-Details,Детали товара,Szczegóły przedmiotu,Tétel részletei,Dettagli articolo,Detalles artículo,Détails article,物品详情,アイテム詳細,Detalhes do item,物品详情,
tpm_select_item_for_details,Select an item to view details,Select an item to view details,Zvol položku pro zobrazení detailů,Item zum Anzeigen auswählen,Выберите товар для просмотра,Wybierz przedmiot aby zobaczyć szczegóły,Válassz tételt a részletekért,Seleziona articolo per vedere dettagli,Selecciona artículo para ver detalles,Sélectionner article pour voir détails,选择物品查看详情,詳細を表示するアイテムを選択,Selecionar item para ver detalhes,选择物品查看详情,
tpm_no_description_available,No description available,No description available,Popis není k dispozici,Keine Beschreibung verfügbar,Описание отсутствует,Brak dostępnego opisu,Nincs elérhető leírás,Nessuna descrizione disponible,No hay descripción disponible,Aucune description disponible,无可用描述,説明なし,Sem descrição disponível,无可用描述,
tpm_sell_price,Sell Price,Sell Price,Prodejní cena,Verkaufspreis,Цена продажи,Cena sprzedaży,Eladási ár,Prezzo vendita,Precio venta,Prix vente,出售价格,売却価格,Preço venda,出售价格,
tpm_buy_price,Buy Price,Buy Price,Nákupní cena,Einkaufspreis,Цена покупки,Cena zakupu,Vásárlási ár,Prezzo acquisto,Precio compra,Prix achat,购买价格,購入価格,Preço compra,购买价格,
tpm_loading,Loading,Loading,Načítám,Laden,Загрузка,Ładowanie,Betöltés,Caricamento,Cargando,Chargement,加载中,読み込み中,Carregando,加载中,
tpm_search,Search,Search,Hledat,Suchen,Поиск,Szukaj,Keresés,Cerca,Buscar,Rechercher,搜索,検索,Pesquisar,搜索,
tpm_filter,Filter,Filter,Filtr,Filter,Фильтр,Filtr,Szűrő,Filtro,Filtro,Filtre,筛选,フィルター,Filtro,筛选,
tpm_show_details,Show details,Show details,Zobrazit detaily,Details anzeigen,Показать детали,Pokaż szczegóły,Részletek mutatása,Mostra dettagli,Mostrar detalles,Afficher détails,显示详情,詳細を表示,Mostrar detalhes,显示详情,
tpm_drop_bag,Drop Bag,Drop Bag,Přídavný batoh,Tasche ablegen,Сбросить сумку,Upuść torbę,Táska ledobása,Lascia borsa,Soltar bolsa,Lâcher sac,丢弃背包,バッグを落とす,Largar saco,丢弃背包,
tpm_food_trader,Food Trader,Food Trader,Obchodník s jídlem,Lebensmittelhändler,Торговец едой,Handlarz żywności,Élelmiszer kereskedő,Commerciante cibo,Comerciante comida,Marchand nourriture,食品商人,食品商人,Comerciante comida,食品商人,
tpm_next,Next,Next,Další,Weiter,Далее,Dalej,Következő,Avanti,Siguiente,Suivant,下一个,次へ,Próximo,下一个,
tpm_stock_count,Stock Count,Stock Count,Skladem kusů,Lagerbestand,Количество на складе,Liczba w magazynie,Készlet szám,Conteggio scorte,Recuento stock,Comptage stock,库存数量,在庫数,Contagem stock,库存数量,
tpm_kobra_optic,Kobra Optic,Kobra Optic,Optika Kobra,Kobra Optik,Оптика Кобра,Optyka Kobra,Kobra optika,Ottica Kobra,Óptica Kobra,Optique Kobra,眼镜蛇光学,コブラ光学,Ótica Kobra,眼镜蛇光学,
tpm_transaction_notification,Transaction Notification,Transaction Notification,Oznámení o transakci,Transaktionsbenachrichtigung,Уведомление о транзакции,Powiadomienie o transakcji,Tranzakció értesítés,Notifica transazione,Notificación transacción,Notification transaction,交易通知,取引通知,Notificação transação,交易通知,
tpm_close_symbol,×,×,×,×,×,×,×,×,×,×,×,×,×,×,
tpm_purchase_success_message,You have successfully Purchased NBC Jacket for 1000 EUR,You have successfully Purchased NBC Jacket for 1000 EUR,Úspěšně jsi zakoupil NBC blůzu za 1000 EUR,Sie haben erfolgreich NBC Jacke für 1000 EUR gekauft,Вы успешно купили куртку NBC за 1000 евро,Pomyślnie zakupiłeś kurtkę NBC za 1000 EUR,Sikeresen megvásárolta az NBC kabátot 1000 EUR-ért,Hai acquistato con successo la giacca NBC per 1000 EUR,Has comprado exitosamente la chaqueta NBC por 1000 EUR,Vous avez acheté avec succès la veste NBC pour 1000 EUR,您已成功购买NBC夹克，价格1000欧元,NBCジャケットを1000ユーロで正常に購入しました,Comprou com sucesso o casaco NBC por 1000 EUR,您已成功购买NBC夹克，价格1000欧元,
tpm_akm,AKM,AKM,AKM,AKM,АКМ,AKM,AKM,AKM,AKM,AKM,AKM,AKM,AKM,AKM,
tpm_failed,Failed,Failed,Chyba,Fehlgeschlagen,Неудачно,Nieudane,Sikertelen,Fallito,Fallido,Échoué,失败,失敗,Falhado,失败,
tpm_select_advanced_sell_options,Select advanced sell options,Select advanced sell options,Zvol rozšířené možnosti prodeje,Erweiterte Verkaufsoptionen auswählen,Выберите расширенные опции продажи,Wybierz zaawansowane opcje sprzedaży,Speciális eladási opciók kiválasztása,Seleziona opzioni di vendita avanzate,Seleccionar opciones de venta avanzadas,Sélectionner les options de vente avancées,选择高级销售选项,高度な販売オプションを選択,Selecionar opções de venda avançadas,选择高级销售选项,
tpm_hierarchy,Hierarchy,Hierarchy,Hierarchie,Hierarchie,Иерархия,Hierarchia,Hierarchia,Gerarchia,Jerarquía,Hiérarchie,层次结构,階層,Hierarquia,层次结构,
tpm_left_click_select,Left click to select,Left click to select,Levý klik pro zvolení,Linksklick zum Auswählen,Левый клик для выбора,Lewy klik aby wybrać,Bal klikk a kiválasztáshoz,Clic sinistro per selezionare,Clic izquierdo para seleccionar,Clic gauche pour sélectionner,左键点击选择,左クリックで選択,Clique esquerdo para selecionar,左键点击选择,
tpm_right_click_sell_all,Right click to sell all,Right click to sell all,Pravý klik pro zvolení,Rechtsklick um alles zu verkaufen,Правый клик чтобы продать все,Prawy klik aby sprzedać wszystko,Jobb klikk az összes eladásához,Clic destro per vendere tutto,Clic derecho para vender todo,Clic droit pour tout vendre,右键点击全部出售,右クリックで全て売る,Clique direito para vender tudo,右键点击全部出售,
tpm_double_left_click_quick_sell,Double left click for quick sell,Double left click for quick sell,Levý dvojklik pro prodej,Doppelklick für Schnellverkauf,Двойной левый клик для быстрой продажи,Podwójny lewy klik dla szybkiej sprzedaży,Dupla bal klikk a gyors eladáshoz,Doppio clic sinistro per vendita rapida,Doble clic izquierdo para venta rápida,Double clic gauche pour vente rapide,双击左键快速出售,ダブル左クリックでクイック売却,Duplo clique esquerdo para venda rápida,双击左键快速出售,
tpm_shift_left_click_add,Shift + left click to add,Shift + left click to add,Shift + levý klik pro přidání,Shift + Linksklick zum Hinzufügen,Shift + левый клик для добавления,Shift + lewy klik aby dodać,Shift + bal klikk a hozzáadáshoz,Shift + clic sinistro per aggiungere,Shift + clic izquierdo para añadir,Shift + clic gauche pour ajouter,Shift + 左键点击添加,Shift + 左クリックで追加,Shift + clique esquerdo para adicionar,Shift + 左键点击添加,
tpm_selection_with_attachments,selection with attachments,selection with attachments,Volba s příslušenstvím,Auswahl mit Anhängen,выбор с вложениями,wybór z załącznikami,kiválasztás mellékletekkel,selezione con allegati,selección con accesorios,sélection avec accessoires,带附件的选择,アタッチメント付きの選択,seleção com anexos,带附件的选择,
tpm_shift_right_click_selection,Shift + right click selection,Shift + right click selection,Shift + pravý klik pro zvolení,Shift + Rechtsklick Auswahl,Shift + правый клик выбор,Shift + prawy klik wybór,Shift + jobb klikk kiválasztás,Shift + clic destro selezione,Shift + clic derecho selección,Shift + clic droit sélection,Shift + 右键点击选择,Shift + 右クリック選択,Shift + clique direito seleção,Shift + 右键点击选择,
tpm_check_other_sell_abilities,Check other sell abilities,Check other sell abilities,Další možnosti,Andere Verkaufsfähigkeiten prüfen,Проверить другие возможности продажи,Sprawdź inne możliwości sprzedaży,Ellenőrizd más eladási képességeket,Controlla altre abilità di vendita,Verificar otras habilidades de venta,Vérifier d'autres capacités de vente,检查其他销售能力,他の販売能力を確認,Verificar outras habilidades de venda,检查其他销售能力,
tpm_double_click_quick_buy,Double click for quick buy,Double click for quick buy,Dvojklik pro rychlý nákup,Doppelklick für Schnellkauf,Двойной клик для быстрой покупки,Podwójny klik dla szybkiego zakupu,Dupla klikk a gyors vásárláshoz,Doppio clic per acquisto rapido,Doble clic para compra rápida,Double clic pour achat rapide,双击快速购买,ダブルクリックでクイック購入,Duplo clique para compra rápida,双击快速购买,
tpm_right_click_customize,Right click to customize,Right click to customize,Pravý klik pro úpravu,Rechtsklick zum Anpassen,Правый клик для настройки,Prawy klik aby dostosować,Jobb klikk a testreszabáshoz,Clic destro per personalizzare,Clic derecho para personalizar,Clic droit pour personnaliser,右键点击自定义,右クリックでカスタマイズ,Clique direito para personalizar,右键点击自定义,
tpm_check_add_favorite,Check to add to favorites,Check to add to favorites,Zaškrtni pro přidání do oblíbených,Ankreuzen um zu Favoriten hinzuzufügen,Отметить чтобы добавить в избранное,Zaznacz aby dodać do ulubionych,Jelöld be a kedvencekhez adáshoz,Spunta per aggiungere ai preferiti,Marcar para añadir a favoritos,Cocher pour ajouter aux favoris,勾选添加到收藏夹,チェックしてお気に入りに追加,Marcar para adicionar aos favoritos,勾选添加到收藏夹,
tpm_variants_colon,Variants:,Variants:,Varianty:,Varianten:,Варианты:,Warianty:,Változatok:,Varianti:,Variantes:,Variantes:,变体:,バリアント:,Variantes:,变体:,
tpm_attachments_colon,Attachments:,Attachments:,Příslušenství:,Anhänge:,Вложения:,Załączniki:,Mellékletek:,Allegati:,Accesorios:,Accessoires:,附件:,アタッチメント:,Anexos:,附件:,
tpm_create_new_preset,Create New Preset,Create New Preset,Vytvořit novou předvolbu,Neue Voreinstellung erstellen,Создать новый пресет,Utwórz nowy preset,Új preset létrehozása,Crea nuovo preset,Crear nuevo preset,Créer nouveau preset,创建新预设,新しいプリセットを作成,Criar novo preset,创建新预设,
tpm_base_price,Base Price,Base Price,Základní cena,Grundpreis,Базовая цена,Cena bazowa,Alapár,Prezzo base,Precio base,Prix de base,基础价格,基本価格,Preço base,基础价格,
tpm_configuration,Configuration,Configuration,Nastavení,Konfiguration,Конфигурация,Konfiguracja,Konfiguráció,Configurazione,Configuración,Configuration,配置,設定,Configuração,配置,
tpm_shopping_cart,Shopping Cart,Shopping Cart,Košík,Warenkorb,Корзина покупок,Koszyk,Bevásárlókosár,Carrello,Carrito de compras,Panier,购物车,ショッピングカート,Carrinho de compras,购物车,
tpm_licenses_required,Licenses Required,Licenses Required,Požadované licence,Lizenzen erforderlich,Требуются лицензии,Wymagane licencje,Licencek szükségesek,Licenze richieste,Licencias requeridas,Licences requises,需要许可证,ライセンスが必要,Licenças necessárias,需要许可证,
tpm_notification,Notification,Notification,Oznámení,Benachrichtigung,Уведомление,Powiadomienie,Értesítés,Notifica,Notificación,Notification,通知,通知,Notificação,通知,
tpm_success,Success,Success,Úspěšné,Erfolg,Успех,Sukces,Siker,Successo,Éxito,Succès,成功,成功,Sucesso,成功,
tpm_error,Error,Error,Chyba,Fehler,Ошибка,Błąd,Hiba,Errore,Error,Erreur,错误,エラー,Erro,错误,
tpm_warning,Warning,Warning,Varování,Warnung,Предупреждение,Ostrzeżenie,Figyelmeztetés,Avviso,Advertencia,Avertissement,警告,警告,Aviso,警告,
tpm_info,Info,Info,Info,Info,Информация,Info,Információ,Info,Información,Info,信息,情報,Informação,信息,
tpm_sell_entire_container,Sell Entire Container,Sell Entire Container,Prodat celek,Gesamten Behälter verkaufen,Продать весь контейнер,Sprzedaj cały kontener,Teljes konténer eladása,Vendi intero contenitore,Vender contenedor completo,Vendre tout le conteneur,出售整个容器,コンテナ全体を売る,Vender contentor inteiro,出售整个容器,
tpm_sell_selected_items,Sell Selected Items,Sell Selected Items,Prodat zvolené,Ausgewählte Gegenstände verkaufen,Продать выбранные предметы,Sprzedaj wybrane przedmioty,Kiválasztott tárgyak eladása,Vendi oggetti selezionati,Vender objetos seleccionados,Vendre objets sélectionnés,出售选中物品,選択したアイテムを売る,Vender itens selecionados,出售选中物品,
tpm_manual_selling,Manual Selling,Manual Selling,Ruční prodej,Manueller Verkauf,Ручная продажа,Sprzedaż ręczna,Kézi eladás,Vendita manuale,Venta manual,Vente manuelle,手动销售,手動販売,Venda manual,手动销售,
tpm_minimal_quantity,Minimal Quantity,Minimal Quantity,Minimální množství,Minimale Menge,Минимальное количество,Minimalna ilość,Minimális mennyiség,Quantità minima,Cantidad mínima,Quantité minimale,最小数量,最小数量,Quantidade mínima,最小数量,
tpm_maximal_quantity,Maximal Quantity,Maximal Quantity,Maximální množství,Maximale Menge,Максимальное количество,Maksymalna ilość,Maximális mennyiség,Quantità massima,Cantidad máxima,Quantité maximale,最大数量,最大数量,Quantidade máxima,最大数量,
tpm_income,Income,Income,Příjem,Einkommen,Доход,Dochód,Bevétel,Reddito,Ingresos,Revenus,收入,収入,Rendimento,收入,
tpm_selected_container_to_sell,Selected Container to Sell,Selected Container to Sell,Zvolený celek k prodeji,Ausgewählter Behälter zum Verkauf,Выбранный контейнер для продажи,Wybrany kontener do sprzedaży,Kiválasztott konténer eladásra,Contenitore selezionato da vendere,Contenedor seleccionado para vender,Conteneur sélectionné à vendre,选中要出售的容器,売却用に選択されたコンテナ,Contentor selecionado para vender,选中要出售的容器,
tpm_to_pay,To Pay,To Pay,K zaplacení,Zu zahlen,К оплате,Do zapłaty,Fizetendő,Da pagare,A pagar,À payer,待付款,支払い,A pagar,待付款,
tpm_presets,Presets,Presets,Předvolby,Voreinstellungen,Пресеты,Presety,Presetek,Preset,Presets,Préréglages,预设,プリセット,Predefinições,预设,
tpm_variants,Variants,Variants,Varianty,Varianten,Варианты,Warianty,Változatok,Varianti,Variantes,Variantes,变体,バリアント,Variantes,变体,
tpm_attachments,Attachments,Attachments,Příslušenství,Anhänge,Вложения,Załączniki,Mellékletek,Allegati,Accesorios,Accessoires,附件,アタッチメント,Anexos,附件,
tpm_all,All,All,Vše,Alle,Все,Wszystkie,Összes,Tutti,Todos,Tous,全部,全て,Todos,全部,
tpm_hands,Hands,Hands,Ruce,Hände,Руки,Ręce,Kezek,Mani,Manos,Mains,手部,手,Mãos,手部,
tpm_primary,Primary,Primary,Primární,Primär,Основное,Główne,Elsődleges,Primario,Primario,Primaire,主要,プライマリ,Primário,主要,
tpm_secondary,Secondary,Secondary,Sekundární,Sekundär,Вторичное,Drugorzędne,Másodlagos,Secondario,Secundario,Secondaire,次要,セカンダリ,Secundário,次要,
tpm_vest,Vest,Vest,Vesta,Weste,Жилет,Kamizelka,Mellény,Giubbotto,Chaleco,Gilet,背心,ベスト,Colete,背心,
tpm_top,Top,Top,Tělo,Oberteil,Верх,Góra,Felső,Sopra,Superior,Haut,上衣,トップ,Topo,上衣,
tpm_belt,Belt,Belt,Opasek,Gürtel,Пояс,Pasek,Öv,Cintura,Cinturón,Ceinture,腰带,ベルト,Cinto,腰带,
tpm_legs,Legs,Legs,Nohy,Beine,Ноги,Nogi,Lábak,Gambe,Piernas,Jambes,腿部,脚,Pernas,腿部,
tpm_back,Back,Back,Záda,Rücken,Спина,Plecy,Hát,Schiena,Espalda,Dos,背部,背中,Costas,背部,
tpm_head,Head,Head,Hlava,Kopf,Голова,Głowa,Fej,Testa,Cabeza,Tête,头部,頭,Cabeça,头部,
tpm_face,Face,Face,Tvář,Gesicht,Лицо,Twarz,Arc,Viso,Cara,Visage,面部,顔,Rosto,面部,
tpm_eyes,Eyes,Eyes,Oči,Augen,Глаза,Oczy,Szemek,Occhi,Ojos,Yeux,眼部,目,Olhos,眼部,
tpm_gloves,Gloves,Gloves,Rukavice,Handschuhe,Перчатки,Rękawiczki,Kesztyűk,Guanti,Guantes,Gants,手套,手袋,Luvas,手套,
tpm_feet,Feet,Feet,Obuv,Füße,Ноги,Stopy,Lábak,Piedi,Pies,Pieds,脚部,足,Pés,脚部,
tpm_armband,Armband,Armband,Nárameník,Armbinde,Нарукавная повязка,Opaska,Karszalag,Fascia,Brazalete,Brassard,臂章,腕章,Braçadeira,臂章,
tpm_vehicles,Vehicles,Vehicles,Vozidla,Fahrzeuge,Транспорт,Pojazdy,Járművek,Veicoli,Vehículos,Véhicules,载具,車両,Veículos,载具,
tpm_none,None,None,Žádné,Keine,Нет,Brak,Nincs,Nessuno,Ninguno,Aucun,无,なし,Nenhum,无,
tpm_select_container_to_sell,Select Container to sell from,Select Container to sell from,Zvol celek k prodeji,Container zum Verkauf auswählen,Выберите контейнер для продажи,Wybierz kontener do sprzedaży,Válassz konténert eladásra,Seleziona contenitore da vendere,Seleccionar contenedor para vender,Sélectionner conteneur à vendre,选择要出售的容器,売却するコンテナを選択,Selecionar contentor para vender,选择要出售的容器,
tpm_choose_preset_name,Choose Preset Name,Choose Preset Name,Zvol jméno předvolby,Preset-Namen wählen,Выберите имя пресета,Wybierz nazwę presetu,Válassz preset nevet,Scegli nome preset,Elegir nombre preset,Choisir nom preset,选择预设名称,プリセット名を選択,Escolher nome preset,选择预设名称,
tpm_search_products,Search Products,Search Products,Hledat produkt,Produkte suchen,Поиск товаров,Szukaj produktów,Termékek keresése,Cerca prodotti,Buscar productos,Rechercher produits,搜索产品,商品を検索,Pesquisar produtos,搜索产品,
tpm_expand_all,Expand All,Expand All,Rozbalit vše,Alle aufklappen,Развернуть все,Rozwiń wszystko,Összes kinyitása,Espandi tutto,Expandir todo,Tout développer,全部展开,すべて展開,Expandir tudo,全部展开,
tpm_collapse_all,Collapse All,Collapse All,Sbalit vše,Alle einklappen,Свернуть все,Zwiń wszystko,Összes összecsukása,Comprimi tutto,Contraer todo,Tout réduire,全部折叠,すべて折りたたむ,Recolher tudo,全部折叠,
